termino,consulta,anio,recuento
agentic,"abs:""agentic""",2025,10727
agent,"abs:""agent""",2025,10727
reasoning,"abs:""reasoning""",2025,15857
reason,"abs:""reason""",2025,15857
neurosymbolic,"abs:""neurosymbolic""",2025,119
neuro-symbolic,"abs:""neuro-symbolic""",2025,223
chain-of-thought,"abs:""chain-of-thought""",2025,2353
chain of thought,"abs:""chain of thought""",2025,2353
self-improvement,"abs:""self-improvement""",2025,329
self-improving,"abs:""self-improving""",2025,329
self-improve,"abs:""self-improve""",2025,329
