modelo,publicacion,publico,semiprivado,hueco_pp
Human Panel,,1,1,0
Icecuber,2023-11-03,0.029,0.016,1.3
GPT-4o-mini,2024-07-18,0,0,0
o1-mini,2024-09-12,0,0.0083,-0.83
ARChitects,2024-11-03,0.035,0.025,1.0
GPT-4o,2024-11-20,0,0,0
Deepseek R1,2025-01-22,0.003,0.013,-1.0
o3-mini (High),2025-01-31,0,0.0299,-2.99
o3-mini (Medium),2025-01-31,0,0.0208,-2.08
o3-mini (Low),2025-01-31,0,0,0
Gemini 1.5 Pro,2025-02-15,0,0.008,-0.8
Grok 3 Mini (Low),2025-02-19,0,0.0042,-0.42
Grok 3,2025-02-19,0,0,0
Claude 3.7 (8K),2025-02-24,0,0.009,-0.9
Claude 3.7 (16K),2025-02-24,0.008,0.007,0.1
Claude 3.7 (1K),2025-02-24,0.008,0.004,0.4
Claude 3.7,2025-02-24,0,0,0
GPT-4.5,2025-02-27,0,0.008,-0.8
Llama 4 Maverick,2025-04-05,0,0,0
Llama 4 Scout,2025-04-05,0,0,0
GPT-4.1,2025-04-14,0,0.0042,-0.42
GPT-4.1-Nano,2025-04-14,0,0,0
GPT-4.1-Mini,2025-04-14,0,0,0
o3 (High),2025-04-16,0.0292,0.0653,-3.61
o4-mini (High),2025-04-16,0.0752,0.0611,1.41
o3 (Medium),2025-04-16,0.0449,0.0298,1.51
o4-mini (Medium),2025-04-16,0.0222,0.0236,-0.14
o3 (Low),2025-04-16,0.0266,0.0199,0.67
o4-mini (Low),2025-04-16,0.0028,0.0167,-1.39
Claude Opus 4 (Thinking 16K),2025-05-14,0.0333,0.0861,-5.28
Claude Sonnet 4 (Thinking 16K),2025-05-14,0.0444,0.0593,-1.49
Claude Opus 4 (Thinking 8K),2025-05-14,0.025,0.0452,-2.02
Claude Sonnet 4 (Thinking 8K),2025-05-14,0.0292,0.0212,0.8
Claude Sonnet 4,2025-05-14,0.0208,0.0127,0.81
Claude Opus 4,2025-05-14,0.0125,0.0127,-0.02
Claude Sonnet 4 (Thinking 1K),2025-05-14,0.0125,0.0085,0.4
Claude Opus 4 (Thinking 1K),2025-05-14,0.0043,0,0.43
Gemini 2.5 Flash (Preview) (Thinking 24K),2025-05-20,0.0264,0.0254,0.1
Gemini 2.5 Flash (Preview) (Thinking 1K),2025-05-20,0,0.0216,-2.16
Gemini 2.5 Flash (Preview) (Thinking 8K),2025-05-20,0.0111,0.0212,-1.01
Gemini 2.5 Flash (Preview) (Thinking 16K),2025-05-20,0.0111,0.0198,-0.87
Gemini 2.5 Flash (Preview),2025-05-20,0.0194,0.0169,0.25
Codex Mini (Latest),2025-05-23,0,0.0127,-1.27
Deepseek R1 (05/28),2025-05-28,0.0029,0.0112,-0.83
o3-Pro (High),2025-06-10,0.0389,0.0486,-0.97
o3-Pro (Low),2025-06-10,0.0194,0.0205,-0.11
o3-Pro (Medium),2025-06-10,0.0347,0.0194,1.53
Magistral Small,2025-06-10,0,0,0
Magistral Medium,2025-06-10,0,0,0
Magistral Medium (Thinking),2025-06-10,0,0,0
Gemini 2.5 Pro (Thinking 32K),2025-06-17,0.0458,0.0486,-0.28
Gemini 2.5 Pro (Thinking 16K),2025-06-17,0.0514,0.0403,1.11
Gemini 2.5 Pro (Thinking 8K),2025-06-17,0.0264,0.0292,-0.28
Gemini 2.5 Pro (Thinking 1K),2025-06-17,0.0042,0,0.42
Grok 4 (Thinking),2025-07-09,0.2115,0.15975,5.17
Qwen3-235b-a22b Instruct (25/07),2025-07-25,0.0083,0.0125,-0.42
GPT-5 (High),2025-08-07,0.0958,0.0986,-0.28
GPT-5 (Medium),2025-08-07,0.0763,0.0749,0.14
