reto,puesto,equipo,envio,puntuacion
ARC-AGI-3,1,Lord Han Solo,2026-09-23,19.4
ARC-AGI-3,2,Tufa Labs,2026-09-23,18.81
ARC-AGI-3,3,Yi-Chia Chen,2026-09-24,18.63
ARC-AGI-3,4,NVARC3,2026-09-23,16.07
ARC-AGI-3,5,Daniel Franzen,2026-09-23,13.12
ARC-AGI-3,6,Matija Ludvig & Zhongwei Wang,2026-09-24,11.64
ARC-AGI-3,7,the last dance 🕺,2026-09-23,11.09
ARC-AGI-3,8,Tong Hui Kang,2026-09-23,10.78
ARC-AGI-3,9,Third Intelligence,2026-09-24,8.81
ARC-AGI-3,10,Ebi,2026-09-24,8.68
ARC-AGI-2,1,Tufa Labs,2026-09-24,83.06
ARC-AGI-2,2,rabbithole,2026-09-23,76.94
ARC-AGI-2,3,nvbanana,2026-09-23,74.17
ARC-AGI-2,4,Yi-Chia Chen,2026-09-15,55.14
ARC-AGI-2,5,Kha Vo,2026-09-24,37.5
ARC-AGI-2,6,Junhua Yang,2026-09-23,37.22
ARC-AGI-2,7,Nguyen,2026-09-24,36.94
ARC-AGI-2,8,AI Winter,2026-09-24,36.25
ARC-AGI-2,9,Hiểu Vy,2026-09-24,34.86
ARC-AGI-2,10,Team BlackBox,2026-09-22,33.89
