conjunto,modelo_id,modelo,proveedor,publicacion,arnes,puntuacion,coste_por_tarea,coste_total
v1_Public_Eval,openai-gpt-5-6-sol-max,GPT-5.6 Sol (Max),OpenAI,2026-07-09,,0.99,0.37,
v1_Public_Eval,anthropic-claude-opus-5-high,Claude Opus 5 (High),Anthropic,2026-07-24,,0.99,0.27,
v1_Public_Eval,anthropic-claude-opus-5-max,Claude Opus 5 (Max),Anthropic,2026-07-24,,0.99,0.42,
v1_Public_Eval,anthropic-claude-fable-5-1-max,Claude Fable 5.1 (Max),Anthropic,2026-09-01,,0.99,0.892544475000001,
v1_Public_Eval,openai-gpt-6-astra-xhigh,GPT-6 Astra (XHigh),OpenAI,2026-09-02,,0.99,0.27634357499999984,
v1_Public_Eval,openai-gpt-5-6-sol-xhigh,GPT-5.6 Sol (XHigh),OpenAI,2026-07-09,,0.9875,0.28,
v1_Public_Eval,anthropic-claude-fable-5-1-xhigh,Claude Fable 5.1 (XHigh),Anthropic,2026-09-01,,0.9875,0.6313754750000006,
v1_Public_Eval,openai-gpt-6-astra-medium,GPT-6 Astra (Medium),OpenAI,2026-09-02,,0.9875,0.1966966999999999,
v1_Public_Eval,anthropic-claude-opus-5-5-xhigh,Claude Opus 5.5 (XHigh),Anthropic,2026-09-22,,0.98625,0.16022644,
v1_Public_Eval,openai-gpt-6-astra-high,GPT-6 Astra (High),OpenAI,2026-09-02,,0.985,0.23390332500000022,
v1_Public_Eval,gpt-5-4-pro-xhigh,GPT-5.4 Pro (XHigh),OpenAI,2026-03-04,,0.9825,5.38,
v1_Public_Eval,openai-gpt-5-6-terra-max,GPT-5.6 Terra (Max),OpenAI,2026-07-09,,0.9825,0.32,
v1_Public_Eval,openai-gpt-6-astra-low,GPT-6 Astra (Low),OpenAI,2026-09-02,,0.9825,0.18578744999999997,
v1_Public_Eval,anthropic-claude-opus-5-5-max,Claude Opus 5.5 (Max),Anthropic,2026-09-22,,0.9825,0.38976489000000003,
v1_Public_Eval,anthropic-claude-opus-5-5-high,Claude Opus 5.5 (High),Anthropic,2026-09-22,,0.9825,0.12628094,
v1_Public_Eval,anthropic-claude-opus-5-5-medium,Claude Opus 5.5 (Medium),Anthropic,2026-09-22,,0.9825,0.11824849,
v1_Public_Eval,gpt-5-5-pro-2026-04-23-high,GPT-5.5 Pro (High),OpenAI,2026-04-23,,0.98,3.18,
v1_Public_Eval,anthropic-claude-fable-5-high,Claude Fable 5 (High),Anthropic,2026-06-09,,0.98,0.5133332000000003,
v1_Public_Eval,anthropic-claude-fable-5-medium,Claude Fable 5 (Medium),Anthropic,2026-06-09,,0.98,0.42189944999999957,
v1_Public_Eval,google-gemini-3-8-flash-high,Gemini 3.8 Flash (High),Google,2026-09-02,,0.98,0.12971782687499991,
v1_Public_Eval,gpt-5-5-pro-2026-04-23-xhigh,GPT-5.5 Pro (XHigh),OpenAI,2026-04-23,,0.9799,3.27,
v1_Public_Eval,anthropic-claude-fable-5-xhigh,Claude Fable 5 (XHigh),Anthropic,2026-06-09,,0.97875,0.6759305750000004,
v1_Public_Eval,openai-gpt-6-astra-max,GPT-6 Astra (Max),OpenAI,2026-09-02,,0.9775,0.3296810250000001,
v1_Public_Eval,google-gemini-3-8-flash-medium,Gemini 3.8 Flash (Medium),Google,2026-09-02,,0.9775,0.07097697374999998,
v1_Public_Eval,anthropic-claude-fable-5-max,Claude Fable 5 (Max),Anthropic,2026-06-09,,0.97625,1.4118586999999994,
v1_Public_Eval,anthropic-claude-fable-5-1-high,Claude Fable 5.1 (High),Anthropic,2026-09-01,,0.97625,0.3808375999999998,
v1_Public_Eval,gpt-5-2-pro-2025-12-11-xhigh,GPT-5.2 Pro (XHigh),OpenAI,2025-12-11,,0.9761,7.7201,
v1_Public_Eval,gpt-5-5-2026-04-22-thinking-xhigh,GPT-5.5 (XHigh),OpenAI,2026-04-22,,0.975,0.52,
v1_Public_Eval,gpt-5-5-2026-04-22-thinking-high,GPT-5.5 (High),OpenAI,2026-04-22,,0.9738,0.41,
v1_Public_Eval,openai-gpt-5-6-sol-high,GPT-5.6 Sol (High),OpenAI,2026-07-09,,0.9725,0.22,
v1_Public_Eval,gemini-3-1-pro-preview,Gemini 3.1 Pro (Preview),Google,2026-02-19,,0.9724,0.3727,
v1_Public_Eval,claude-4-7-max,Claude 4.7 (Max),Anthropic,2026-04-16,,0.97,1.77,
v1_Public_Eval,claude-opus-4-6-thinking-120K-max,"Claude Opus 4.6 (120K, Max)",Anthropic,2026-02-05,,0.9675,1.2958,
v1_Public_Eval,claude-4-7-high,Claude 4.7 (High),Anthropic,2026-04-16,,0.9663,0.84,
v1_Public_Eval,google-gemini-3-7-flash-high,Gemini 3.7 Flash (High),Google,2026-08-13,,0.96625,0.09120528,
v1_Public_Eval,anthropic-claude-fable-5-1-medium,Claude Fable 5.1 (Medium),Anthropic,2026-09-01,,0.96625,0.3191132249999999,
v1_Public_Eval,gpt-5-5-2026-04-22-thinking-medium,GPT-5.5 (Medium),OpenAI,2026-04-22,,0.965,0.3,
v1_Public_Eval,anthropic-claude-fable-5-low,Claude Fable 5 (Low),Anthropic,2026-06-09,,0.965,0.35456869999999974,
v1_Public_Eval,gpt-5-4-xhigh,GPT-5.4 (XHigh),OpenAI,2026-03-04,,0.9638,0.43,
v1_Public_Eval,claude-opus-4-6-thinking-120K-high,"Claude Opus 4.6 (120K, High)",Anthropic,2026-02-05,,0.9625,0.8727,
v1_Public_Eval,xai-grok-4-6-xhigh,Grok 4.6 (XHigh),xAI,2026-08-11,,0.9625,0.23996201499999992,
v1_Public_Eval,xai-grok-4-6-high,Grok 4.6 (High),xAI,2026-08-11,,0.9625,0.23128210999999996,
v1_Public_Eval,claude-4-7-medium,Claude 4.7 (Medium),Anthropic,2026-04-16,,0.9612,0.62,
v1_Public_Eval,gemini-3-5-flash-high,Gemini 3.5 Flash (High),Google,2026-05-19,,0.96,0.3201,
v1_Public_Eval,gemini-3-6-flash-high,Gemini 3.6 Flash (High),Google,2026-07-21,,0.96,0.2538783975,
v1_Public_Eval,claude_sonnet_4_6_max,Claude Sonnet 4.6 (Max),Anthropic,2026-02-17,,0.9575,1.0867,
v1_Public_Eval,openai-gpt-5-6-terra-high,GPT-5.6 Terra (High),OpenAI,2026-07-09,,0.9575,0.15,
v1_Public_Eval,openai-gpt-5-6-terra-xhigh,GPT-5.6 Terra (XHigh),OpenAI,2026-07-09,,0.9563,0.19,
