cve,euvd,alta_eu_kev,alta_cisa_kev,eu_menos_cisa_dias,asignador,proveedor,honeypot
CVE-2024-8963,EUVD-2024-49510,2025-01-17,2024-09-19,120,ivanti,Ivanti,sí
CVE-2024-8190,EUVD-2024-49004,2025-01-17,2024-09-13,126,ivanti,Ivanti,no
CVE-2024-9380,EUVD-2024-49898,2025-01-17,2024-10-09,100,ivanti,Ivanti,no
CVE-2017-0144,EUVD-2017-0511,2025-01-23,2022-02-10,1078,microsoft,Microsoft Corporation,no
CVE-2020-0787,EUVD-2020-2274,2025-01-23,2022-01-28,1091,microsoft,Microsoft,no
CVE-2023-3519,EUVD-2023-44176,2025-01-23,2023-07-19,554,Citrix,Citrix,sí
CVE-2023-27997,EUVD-2023-31722,2025-01-23,2023-06-13,590,fortinet,Fortinet,no
CVE-2023-22515,EUVD-2023-26655,2025-01-23,2023-10-05,476,atlassian,Atlassian,sí
CVE-2023-46604,EUVD-2023-2719,2025-01-23,2023-11-02,448,apache,Apache Software Foundation,no
CVE-2020-1472,EUVD-2020-12346,2025-01-23,2021-11-03,1177,microsoft,Microsoft,no
CVE-2023-46747,EUVD-2023-50916,2025-01-23,2023-10-31,450,f5,F5,sí
CVE-2023-48788,EUVD-2023-52821,2025-01-23,2024-03-25,304,fortinet,Fortinet,no
CVE-2024-55591,EUVD-2024-52819,2025-02-13,2025-01-14,30,fortinet,Fortinet,no
CVE-2010-0738,EUVD-2010-0764,2025-07-14,2022-05-25,1146,redhat,n/a,no
CVE-2017-12149,EUVD-2017-3733,2025-07-14,2021-12-10,1312,redhat,"Red Hat, Inc.",sí
CVE-2011-4085,EUVD-2011-4036,2025-07-14,,,redhat,n/a,no
CVE-2015-7501,EUVD-2022-3799,2025-07-14,,,redhat,n/a,no
CVE-2025-6543,EUVD-2025-19085,2025-07-18,2025-06-30,18,Citrix,NetScaler,no
CVE-2025-25231,EUVD-2025-24160,2025-09-09,,,Omnissa,Omnissa,sí
CVE-2025-59719,EUVD-2025-202191,2026-01-27,,,fortinet,Fortinet,no
CVE-2025-59718,EUVD-2025-202198,2026-01-27,2025-12-16,42,fortinet,Fortinet,no
CVE-2026-1340,EUVD-2026-4936,2026-01-29,2026-04-08,-69,ivanti,Ivanti,sí
CVE-2026-1281,EUVD-2026-4940,2026-01-29,2026-01-29,0,ivanti,Ivanti,sí
CVE-2026-20963,EUVD-2026-2114,2026-03-12,2026-03-18,-6,microsoft,Microsoft,no
CVE-2025-55182,EUVD-2025-200983,2026-04-08,2025-12-05,124,Meta,Meta,sí
CVE-2025-53770,EUVD-2025-23309,2026-04-08,2025-07-20,262,microsoft,Microsoft,sí
CVE-2025-22457,EUVD-2025-9646,2026-04-08,2025-04-04,369,ivanti,Ivanti,no
CVE-2025-4427,EUVD-2025-14388,2026-04-08,2025-05-19,324,ivanti,Ivanti,sí
CVE-2025-4428,EUVD-2025-14387,2026-04-08,2025-05-19,324,ivanti,Ivanti,no
CVE-2024-42009,EUVD-2024-39391,2026-04-27,2025-06-09,322,mitre,n/a,no
CVE-2026-41940,EUVD-2026-26246,2026-05-08,2026-04-30,8,VulnCheck,WebPros,sí
CVE-2026-1731,EUVD-2026-5559,2026-06-04,2026-02-13,111,BT,BeyondTrust,no
CVE-2026-48908,EUVD-2026-38110,2026-07-06,2026-07-07,-1,Joomla,joomshaper.net,no
CVE-2026-48907,EUVD-2026-34789,2026-07-06,2026-06-16,20,Joomla,joomlacontenteditor.net,no
CVE-2026-49049,EUVD-2026-40122,2026-07-10,,,Joomla,joomshaper.com,no
CVE-2022-26134,EUVD-2022-30701,2026-07-31,2022-06-02,1520,atlassian,Atlassian,sí
CVE-2026-59310,EUVD-2026-51097,2026-08-10,2026-08-18,-8,vmware,VMware,no
CVE-2017-10271,EUVD-2017-1918,2026-08-10,2022-02-10,1642,oracle,Oracle Corporation,sí
CVE-2026-68820,EUVD-2026-56468,2026-08-11,2026-08-11,0,microsoft,Microsoft,no
CVE-2026-12569,EUVD-2026-37831,2026-08-16,2026-06-25,52,PTC,PTC,no
CVE-2026-41679,EUVD-2026-25166,2026-08-17,,,GitHub_M,paperclipai,no
CVE-2026-73570,EUVD-2026-58069,2026-08-18,2026-08-21,-3,mitre,Zimbra,sí
CVE-2026-42897,EUVD-2026-30343,2026-08-18,2026-05-15,95,microsoft,Microsoft,no
CVE-2026-72898,EUVD-2026-55690,2026-08-24,2026-08-11,13,cisa-cg,metabase,sí
CVE-2026-82078,EUVD-2026-67714,2026-08-27,2026-08-31,-4,PaperCut,PaperCut,no
CVE-2026-81578,EUVD-2026-67713,2026-08-27,2026-08-31,-4,PaperCut,PaperCut,no
CVE-2026-74232,EUVD-2026-66999,2026-08-27,,,VulnCheck,Unknown,no
CVE-2026-74233,EUVD-2026-67000,2026-08-27,,,VulnCheck,Unknown,no
CVE-2026-58400,EUVD-2026-70645,2026-09-02,,,GitHub_M,geonetwork,no
CVE-2026-63219,EUVD-2026-70647,2026-09-02,,,GitHub_M,geonetwork,no
CVE-2026-86060,EUVD-2026-72029,2026-09-05,2026-09-10,-5,CERT-PL,MikroTik,no
CVE-2026-67277,EUVD-2026-72025,2026-09-05,2026-09-10,-5,CERT-PL,MikroTik,no
CVE-2026-67276,EUVD-2026-72024,2026-09-05,,,CERT-PL,MikroTik,no
CVE-2026-20316,EUVD-2026-50404,2026-09-09,2026-07-29,42,cisco,Cisco,no
CVE-2026-20079,EUVD-2026-9438,2026-09-09,2026-09-09,0,cisco,Cisco,no
