n,consultas,ingenuo,escalera,anclado,rotado,real
200,100,67.78,59.1,49.88,50.55,49.89
200,500,83.35,60.4,48.85,70.15,49.93
200,1000,92.08,61.6,50.9,81.6,49.97
200,2000,97.93,62.4,50.58,90.9,49.93
1000,100,58.09,53.65,50.49,50.8,49.99
1000,500,66.5,54.5,49.59,59.66,50.11
1000,1000,72.04,54.7,50.17,65.83,50.02
1000,2000,79.21,55.15,49.47,71.22,49.98
5000,100,53.81,51.45,50.22,50.19,49.97
5000,500,57.5,51.9,49.88,54.14,50.02
5000,1000,60.35,52.15,50.04,57.29,49.98
5000,2000,64.1,52.15,50.16,60.08,50.05
