consulta,ingenuo,escalera,anclado,rotado,real
1,50.685,50.1,50.0,50.0,49.952
2,51.07,50.65,50.0,50.0,49.939
3,51.525,51.1,50.0,50.0,49.896
4,51.94,51.4,50.0,50.0,50.057
5,52.05,51.5,50.0,50.0,50.031
6,52.175,51.65,50.0,50.0,50.03
7,52.225,51.65,50.0,50.0,50.069
8,52.41,51.8,50.0,50.0,49.991
9,52.83,52.0,50.0,50.0,49.911
10,52.865,52.0,50.0,50.0,49.959
11,52.96,52.05,50.0,50.0,49.943
12,53.205,52.2,50.0,50.0,49.96
13,53.325,52.25,50.0,50.0,49.964
14,53.38,52.25,50.0,50.0,49.969
15,53.505,52.35,50.0,50.0,50.001
16,53.56,52.35,50.0,50.0,50.034
17,53.58,52.45,50.0,50.0,49.986
18,53.58,52.45,50.0,50.0,50.036
19,53.635,52.45,50.0,50.0,50.012
20,53.72,52.5,50.0,50.0,49.994
21,53.835,52.5,50.0,50.0,49.993
22,53.835,52.5,50.0,50.0,50.006
23,53.89,52.65,50.0,50.0,50.047
24,54.025,52.9,50.0,50.0,50.03
25,54.29,52.9,50.0,50.0,50.043
26,54.305,52.9,50.0,50.0,50.031
27,54.37,52.9,50.0,50.0,49.98
28,54.4,52.9,50.0,50.0,49.989
29,54.51,52.95,50.0,50.0,49.963
30,54.58,52.95,50.0,50.0,49.99
31,54.62,52.95,50.0,50.0,49.984
32,54.64,52.95,50.0,50.0,50.041
33,54.65,52.95,50.0,50.0,50.05
34,54.67,52.95,50.0,50.0,50.05
35,54.825,52.95,50.0,50.0,50.05
36,54.935,52.95,50.0,50.0,50.037
37,54.97,52.95,50.0,50.0,50.098
38,54.97,53.0,50.0,50.0,50.069
39,55.11,53.1,50.0,50.0,50.03
40,55.19,53.1,50.0,50.0,50.116
41,55.215,53.1,50.0,50.0,50.039
42,55.285,53.1,50.0,50.0,50.019
43,55.34,53.1,50.0,50.0,50.057
44,55.365,53.1,50.0,50.0,50.065
45,55.435,53.2,50.0,50.0,50.108
46,55.495,53.2,50.0,50.0,50.124
47,55.58,53.25,50.0,50.0,50.024
48,55.595,53.25,50.0,50.0,50.052
49,55.66,53.25,50.0,50.0,50.057
50,55.69,53.25,50.0,50.0,50.038
51,55.805,53.25,50.0,50.0,50.001
52,55.87,53.25,50.0,50.0,50.016
53,55.95,53.25,50.0,50.0,49.958
54,55.995,53.25,50.0,50.0,49.961
55,56.09,53.35,50.0,50.0,49.949
56,56.165,53.35,50.0,50.0,49.916
57,56.195,53.35,50.0,50.0,49.912
58,56.195,53.35,50.0,50.0,49.908
59,56.195,53.35,50.0,50.0,49.944
60,56.24,53.35,50.0,50.0,49.959
61,56.295,53.35,50.0,50.0,49.959
62,56.375,53.4,50.0,50.0,49.937
63,56.405,53.4,50.0,50.0,49.966
64,56.415,53.4,50.0,50.0,49.988
65,56.48,53.4,50.0,50.0,49.974
66,56.5,53.4,50.0,50.0,49.979
67,56.565,53.4,50.0,50.0,49.927
68,56.69,53.4,50.0,50.0,49.926
69,56.71,53.4,50.0,50.0,49.92
70,56.71,53.4,50.0,50.0,49.908
71,56.73,53.4,50.0,50.0,49.916
72,56.79,53.4,50.0,50.0,49.948
73,56.805,53.4,50.0,50.0,49.942
74,56.915,53.4,50.0,50.0,49.941
75,57.025,53.4,50.0,50.0,49.963
76,57.04,53.4,50.0,50.0,49.95
77,57.07,53.4,50.0,50.0,49.95
78,57.105,53.4,50.0,50.0,49.974
79,57.105,53.4,50.0,50.0,49.978
80,57.185,53.4,50.0,50.0,49.996
81,57.185,53.4,50.0,50.0,49.972
82,57.19,53.4,50.0,50.0,49.986
83,57.21,53.4,50.0,50.0,49.944
84,57.295,53.4,50.0,50.0,49.943
85,57.39,53.4,50.0,50.0,49.934
86,57.505,53.4,50.0,50.0,49.91
87,57.52,53.4,50.0,50.0,49.916
88,57.565,53.4,50.0,50.0,49.94
89,57.565,53.4,50.0,50.0,49.925
90,57.585,53.4,50.0,50.0,49.957
91,57.615,53.4,50.0,50.0,49.982
92,57.645,53.4,50.0,50.0,49.931
