n,p,k,sigma_puntos,inflacion_esperada_puntos,inflacion_simulada_puntos,percentil_90_puntos
100,0.5,1,5.0,0.0,-0.001,6.0
100,0.5,2,5.0,2.821,2.819,8.0
100,0.5,3,5.0,4.231,4.225,9.0
100,0.5,5,5.0,5.815,5.797,10.0
100,0.5,10,5.0,7.694,7.695,11.0
100,0.5,20,5.0,9.337,9.293,13.0
100,0.5,50,5.0,11.245,11.208,14.0
100,0.5,100,5.0,12.538,12.477,15.0
100,0.7,1,4.583,0.0,-0.001,6.0
100,0.7,2,4.583,2.585,2.589,7.0
100,0.7,3,4.583,3.878,3.891,8.0
100,0.7,5,4.583,5.329,5.295,9.0
100,0.7,10,4.583,7.051,6.933,10.0
100,0.7,20,4.583,8.558,8.336,11.0
100,0.7,50,4.583,10.307,9.981,13.0
100,0.7,100,4.583,11.491,11.064,13.0
100,0.9,1,3.0,0.0,-0.005,4.0
100,0.9,2,3.0,1.693,1.692,5.0
100,0.9,3,3.0,2.539,2.509,5.0
100,0.9,5,3.0,3.489,3.366,6.0
100,0.9,10,3.0,4.616,4.342,6.0
100,0.9,20,3.0,5.602,5.161,7.0
100,0.9,50,3.0,6.747,6.069,7.0
100,0.9,100,3.0,7.523,6.652,8.0
200,0.5,1,3.536,0.0,-0.009,4.5
200,0.5,2,3.536,1.995,2.008,6.0
200,0.5,3,3.536,2.992,3.021,6.5
200,0.5,5,3.536,4.112,4.148,7.0
200,0.5,10,3.536,5.44,5.435,8.0
200,0.5,20,3.536,6.603,6.59,9.0
200,0.5,50,3.536,7.952,7.946,10.0
200,0.5,100,3.536,8.866,8.836,11.0
200,0.7,1,3.24,0.0,-0.003,4.0
200,0.7,2,3.24,1.828,1.827,5.5
200,0.7,3,3.24,2.742,2.719,6.0
200,0.7,5,3.24,3.768,3.747,6.5
200,0.7,10,3.24,4.986,4.909,7.5
200,0.7,20,3.24,6.051,5.934,8.0
200,0.7,50,3.24,7.288,7.107,9.0
200,0.7,100,3.24,8.126,7.9,9.5
200,0.9,1,2.121,0.0,0.001,2.5
200,0.9,2,2.121,1.197,1.184,3.5
200,0.9,3,2.121,1.795,1.767,3.5
200,0.9,5,2.121,2.467,2.396,4.0
200,0.9,10,2.121,3.264,3.136,4.5
200,0.9,20,2.121,3.962,3.755,5.0
200,0.9,50,2.121,4.771,4.453,5.5
200,0.9,100,2.121,5.319,4.91,6.0
500,0.5,1,2.236,0.0,0.0,2.8
500,0.5,2,2.236,1.262,1.266,3.6
