bits,p_inf,p_sup,p_mediano,ratio_mediano,kappa_mediano,medidas
4,1.04876,1.06371,1.06231,1.05988,1.966,4224
4,1.06371,1.06563,1.06472,1.06275,1.987,4224
4,1.06563,1.06758,1.06654,1.06444,2.0,4224
4,1.06758,1.8728,1.06909,1.06704,2.02,4224
4,1.8728,4.28993,3.64978,3.57241,35.513,4224
4,4.28993,6.00917,5.06507,4.95889,57.551,4224
4,6.00917,8.11974,7.03458,6.88878,85.566,4224
4,8.11974,10.69575,9.29732,9.10687,120.444,4224
4,10.69575,14.6984,12.4353,12.18775,170.354,4224
4,14.6984,22.09351,17.75274,17.31681,255.164,4224
4,22.09351,43.42266,29.30149,28.50806,434.753,4224
4,43.42266,122833.62819,86.45789,84.18446,1299.923,4224
8,1.04876,1.06371,1.06231,1.05985,1.966,4224
8,1.06371,1.06563,1.06472,1.0626,1.987,4224
8,1.06563,1.06758,1.06654,1.06414,2.0,4224
8,1.06758,1.8728,1.06909,1.06688,2.02,4224
8,1.8728,4.28993,3.64978,3.57525,35.513,4224
8,4.28993,6.00917,5.06507,4.9574,57.551,4224
8,6.00917,8.11974,7.03458,6.90273,85.566,4224
8,8.11974,10.69575,9.29732,9.09845,120.444,4224
8,10.69575,14.6984,12.4353,12.2032,170.354,4224
8,14.6984,22.09351,17.75274,17.30683,255.164,4224
8,22.09351,43.42266,29.30149,28.55118,434.753,4224
8,43.42266,122833.62819,86.45789,83.97504,1299.923,4224
