indice,peso,nivel,peso_cuantizado
0,0.00262260,0,0.00000000
1,0.01007080,1,0.00745501
2,-0.03848267,-5,-0.03727504
3,0.03289795,4,0.02982003
4,-0.03555298,-5,-0.03727504
5,0.03430176,5,0.03727504
6,0.00833130,1,0.00745501
7,-0.01379395,-2,-0.01491002
8,0.01623535,2,0.01491002
9,-0.02722168,-4,-0.02982003
10,0.02825928,4,0.02982003
11,-0.00071716,0,-0.00000000
12,0.00238800,0,0.00000000
13,0.01282501,2,0.01491002
14,-0.02003479,-3,-0.02236503
15,0.00009727,0,0.00000000
16,0.00788879,1,0.00745501
17,0.03482056,5,0.03727504
18,-0.00181580,0,-0.00000000
19,-0.00110722,0,-0.00000000
20,-0.01291656,-2,-0.01491002
21,0.00178909,0,0.00000000
22,0.00920868,1,0.00745501
23,-0.02893066,-4,-0.02982003
24,0.00068617,0,0.00000000
25,-0.02554321,-3,-0.02236503
26,-0.01038361,-1,-0.00745501
27,-0.02273560,-3,-0.02236503
28,0.00641632,1,0.00745501
29,-0.01468658,-2,-0.01491002
30,-0.02647400,-4,-0.02982003
31,0.02801514,4,0.02982003
32,0.02113342,3,0.02236503
33,0.03265381,4,0.02982003
34,0.01527405,2,0.01491002
35,0.03924561,5,0.03727504
36,0.05218506,7,0.05218506
37,0.02595520,3,0.02236503
38,0.01718140,2,0.01491002
39,0.02314758,3,0.02236503
40,0.01664734,2,0.01491002
41,0.02235413,3,0.02236503
42,-0.02003479,-3,-0.02236503
43,-0.03421021,-5,-0.03727504
44,0.01103973,1,0.00745501
45,0.01132965,2,0.01491002
46,0.00030422,0,0.00000000
47,0.02377319,3,0.02236503
48,0.00832367,1,0.00745501
49,0.02543640,3,0.02236503
50,0.00855255,1,0.00745501
51,-0.00731277,-1,-0.00745501
52,-0.01258087,-2,-0.01491002
53,-0.02305603,-3,-0.02236503
54,0.00712204,1,0.00745501
55,-0.00082541,0,-0.00000000
56,0.01979065,3,0.02236503
57,-0.03341675,-4,-0.02982003
58,-0.00060606,0,-0.00000000
59,-0.01314545,-2,-0.01491002
60,0.00612640,1,0.00745501
61,0.01611328,2,0.01491002
62,0.02224731,3,0.02236503
63,0.02046204,3,0.02236503
