puesto,modelo,pipeline,creado,likes,arquitectura,tipo,gguf,params_total_hub,params_elementos,params_total,params_activos,fraccion_activa,params_activos_con_tablas,params_expertos,params_tablas,capas_moe,expertos_por_capa,activos_por_token,declarado_total_B,declarado_activo_B,shards,tensores
1,deepseek-ai/DeepSeek-V4.1-Flash,image-text-to-text,2026-09-10,2452,DeepseekV41ForCausalLM,cuantizado,0,763205315794,508182659298,,,,,,,,,,,,48,96085
2,Edge0/Edge0-35B-A3B-preview,text-generation,2026-09-08,2012,Qwen3_5MoeForConditionalGeneration,cuantizado,0,34660610688,5419330688,,,,,,,,,,35.0,3.0,4,1757
3,openbmb/MiniCPM5-2B,text-generation,2026-09-06,1394,LlamaForCausalLM,denso,0,2516756480,,2516756480,2249369600,0.8938,2516756480,0,267386880,0,,,2.0,,1,381
4,nex-agi/Nex-N2.5-mini,text-generation,2026-09-08,781,Qwen3_5MoeForConditionalGeneration,moe,0,35107181936,,35107181936,3393000816,0.0966,3901560176,32212254720,508559360,40,256,8,,,16,1026
5,Qwen/Qwen3.8-27B,image-text-to-text,2026-08-05,15142,Qwen3_5ForConditionalGeneration,denso,0,27781427952,,27781427952,26510029552,0.9542,27781427952,0,1271398400,0,,,27.0,,18,1199
6,nex-agi/Nex-N2.5-Pro,text-generation,2026-09-08,633,Qwen3_5MoeForConditionalGeneration,moe,0,396802360816,,396825953776,16788393456,0.0423,17805512176,386570649600,1017118720,60,512,10,,,122,185571
7,ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,image-text-to-text,2026-08-28,1047,—,gguf,1,,,,,,,,,,,,27.0,,,
8,m-a-p/YuE2-3B,text-to-audio,2026-09-09,473,YuE2ForCausalLM,denso,0,3630684224,,3630684224,3252410432,0.8958,3630684224,0,378273792,0,,,3.0,,1,628
9,XHToken/Spark-X2.5-4B,text-generation,2026-08-24,1171,Spark2_5ForCausalLM,denso,0,4112079360,,4112079360,4112079360,1.0,4112079360,0,0,0,,,4.0,,5,290
10,Lightricks/LTX-2.5,image-to-video,2026-07-23,3871,—,sin safetensors,0,,,,,,,,,,,,,,,
11,unsloth/Qwen3.8-27B-GGUF,,2026-08-13,4102,—,gguf,1,,,,,,,,,,,,27.0,,,
12,DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF,image-text-to-text,2026-09-01,682,—,gguf,1,,,,,,,,,,,,27.0,,,
13,WarmBloodAban/Minimax-h3_Singularity,image-to-video,2026-09-05,396,—,cuantizado,0,,33130903862,,,,,,,,,,,,2,1036
14,sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,2022-03-02,5970,BertModel,denso,0,22713728,,22713728,10993280,0.484,22713728,0,11720448,0,,,,,1,104
15,tencent/AuK,text-to-speech,2026-08-18,219,—,denso,0,,,1689838426,1689838426,1.0,1689838426,0,0,0,,,,,2,1557
16,MiniMaxAI/MiniMax-H3,image-text-to-video,2026-07-28,5291,—,sin safetensors,0,33122992896,,,,,,,,,,,,,,
17,openai-community/gpt2,text-generation,2022-03-02,4076,GPT2LMHeadModel,denso,0,137022720,,137022720,98425344,0.7183,137022720,0,38597376,0,,,,,1,160
