puesto,id,descargas,likes,creado,edad_dias,biblioteca,ficheros,con_fichero_consulta,safetensors_raiz
1,XHToken/Spark-X2.5-4B,10661,845,2026-08-24,16,transformers,23,1,1
2,openbmb/MiniCPM5-2B,2879,653,2026-09-06,3,transformers,11,1,1
3,Qwen/Qwen3.8-27B,6712160,14386,2026-08-05,35,transformers,32,1,1
4,ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,479597,649,2026-08-28,12,gguf,26,0,0
5,google/timesfm-3.0-pytorch,444052,629,2026-08-24,16,,5,1,1
6,Lightricks/LTX-2.5,1644796,3174,2026-07-23,48,diffusion-single-file,17,0,0
7,DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF,348753,352,2026-09-01,8,,29,0,0
8,unsloth/Qwen3.8-27B-GGUF,10675683,3704,2026-08-13,27,,33,1,0
9,Qwen/Qwen3.8-Flash-Next,503263,5007,2026-08-24,16,transformers,144,1,1
10,deepseek-ai/DeepSeek-V4-Flash-Vision-Exp,313547,819,2026-08-31,9,transformers,84,1,1
11,sentence-transformers/all-MiniLM-L6-v2,253331994,5624,2022-03-02,1652,sentence-transformers,30,1,1
12,dealignai/GLM-5.3-CYBERSECURITY-FP8,19433,313,2026-08-30,10,,294,1,1
13,OpenVDN/vdn-minimax-h3,0,246,2026-09-02,7,diffusers,46,0,0
14,zai-org/GLM-5.3-Flash,826875,2170,2026-08-25,15,transformers,73,1,1
15,openai-community/gpt2,14748356,3754,2022-03-02,1652,transformers,26,1,1
16,IFM/K2-Horizon-MoVA-36B-A4B,3205,233,2026-09-01,8,transformers,63,1,1
17,MiniMaxAI/MiniMax-H3,4994268,5046,2026-07-28,43,minimax-h3,280,0,0
18,zai-org/GLM-5.3,474141,1764,2026-08-25,15,transformers,155,1,1
19,facebook/mms-300m,12388,301,2023-05-22,1206,transformers,5,1,0
20,google-bert/bert-base-uncased,50396517,3038,2022-03-02,1652,transformers,16,1,1
21,distilbert/distilbert-base-uncased,7138152,1197,2022-03-02,1652,transformers,12,1,1
22,openai/clip-vit-base-patch32,20702763,1255,2022-03-02,1652,transformers,12,1,0
23,WarmBloodAban/Minimax-h3_Singularity,58060,172,2026-09-05,4,minimax-h3,12,0,1
24,BreezeBlue/Breeze-TTS-2,7243,485,2026-08-25,15,transformers,17,1,1
25,unsloth/Qwen3.8-Flash-Next-GGUF,935568,837,2026-08-26,14,,60,0,0
26,nvidia/Qwen3.8-Flash-Next-NVFP4,26302,155,2026-09-02,7,Model Optimizer,25,1,1
27,microsoft/VibeVoice-ASR-Streaming-7B,1449,153,2026-09-02,7,transformers,21,1,1
28,HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-MTP-GGUF,1715824,1024,2026-08-17,23,,21,0,0
29,Jackrong/Qwopus3.8-27B-Flash-GGUF,113295,149,2026-09-04,5,transformers,15,0,0
30,orcarouter/Qwen3.8-27B-Uncensored-GGUF,299670,817,2026-08-16,24,gguf,20,0,0
31,openbmb/MiniCPM5-2B-GGUF,7760,117,2026-09-05,4,transformers,6,0,0
32,Viggle/Viggle-Animate,0,117,2026-08-31,9,diffusers,55,0,0
33,OBLITERATUS/Qwen3.8-27B-OBLITERATED,1059387,1135,2026-08-19,21,mlx,70,1,1
34,JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,2660078,1021,2026-08-14,26,llama.cpp,20,0,0
35,Qwen/Qwen-Drive-1.0-4B,1579,91,2026-08-27,13,transformers,25,1,1
36,IFM/K2-Horizon-7B,2989,96,2026-09-01,8,transformers,50,1,1
37,phasefield-audio/Irodori-TTS-v4.1-Anime,0,94,2026-09-04,5,,10,0,1
38,MATLOWAI/minimax-h3-fused-turbo-int8-convrot,120472,135,2026-08-29,11,diffusion-single-file,42,0,0
39,lightx2v/Minimax-h3-Turbo,1313916,871,2026-08-07,33,diffusers,17,0,1
40,IFM/K2-Horizon-MoVA-36B-A4B-GGUF,4590,88,2026-09-03,6,transformers,5,0,0
41,XHToken/Spark-X2.5-4B-GGUF,49223,101,2026-08-28,12,gguf,7,0,0
42,huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF,2305654,608,2026-08-16,24,transformers,39,0,0
43,pyannote/speaker-diarization-community-1,4984852,1484,2025-04-15,512,pyannote-audio,10,1,0
44,orcarouter/Qwen3.8-Flash-Next-Uncensored-GGUF,140965,262,2026-08-26,14,gguf,47,0,0
45,Comfy-Org/MiniMax-H3,18804152,1734,2026-07-30,41,diffusion-single-file,32,0,0
46,inclusionAI/Ling-3.0-flash-Fin,712,76,2026-09-03,6,,77,1,1
47,moonshotai/Kimi-K3,2380448,11241,2026-06-13,88,transformers,119,1,1
48,krea/Krea-2-Turbo,70518,1098,2026-06-18,83,diffusers,55,0,1
49,tencent/Hy4-preview,7193,457,2026-08-27,13,transformers,170,1,1
50,facebook/sam3,1992828,2991,2025-11-07,306,transformers,12,1,1
51,DANNY621/H3-World,0,72,2026-08-31,9,,4,0,1
52,XHToken/Spark-X2.5-1.7B,3213,106,2026-08-24,16,transformers,20,1,1
53,orcarouter/Qwen3.8-27B-Uncensored-FP8,417156,1473,2026-08-15,25,transformers,20,1,1
54,froggeric/Qwen-Fixed-Chat-Templates,0,1617,2026-04-23,139,mlx,85,0,0
55,HojoAI/Hojo-ASR-Multi-V1,220,66,2026-08-14,26,,18,1,1
56,IFM/K2-Horizon-375B-A23B,2012,64,2026-09-01,8,transformers,76,1,1
57,Playtime-AI/Minimax_H3-Sydney_Sweeney,0,98,2026-08-24,16,,4,0,1
58,unsloth/GLM-5.3-Flash-GGUF,187414,386,2026-08-26,14,,87,0,0
59,orcarouter/Qwen3.8-27B-Uncensored,68833,290,2026-08-18,22,transformers,31,1,1
60,peculiar-ragdoll/Tiel-Coder-35B-A3B-GGUF,282068,243,2026-08-19,21,gguf,18,0,0
61,black-forest-labs/FLUX.2-klein-base-9b-fp8,29031,530,2026-01-14,238,diffusers,7,0,1
62,speach1sdef178/MiniMax-H3-Semantic-Bridge,806,57,2026-09-05,4,minimax-h3,69,0,1
63,DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NM-DAU,4469,172,2026-08-25,15,transformers,26,1,1
64,inclusionAI/LLaDA-Image,474,56,2026-08-28,12,diffusers,39,0,0
65,black-forest-labs/FLUX.1-dev,790579,14525,2024-07-31,770,diffusers,29,0,1
66,orcarouter/Qwen3.8-27B-Uncensored-MLX,148416,1328,2026-08-17,23,mlx,80,1,1
67,0bserverx/Qwen3.8-27B-Heretic-Abliterated-Uncensored-GGUF,1605890,416,2026-08-14,26,transformers,110,0,0
68,orcarouter/GLM-5.3-Flash-Uncensored-FP8,9596,199,2026-08-29,11,transformers,72,1,1
69,IFM/K2-Horizon-0.9B,5883,48,2026-09-01,8,transformers,19,1,1
70,ByteDance/Ouro-1.4B,26792,155,2025-10-28,316,transformers,13,1,1
71,QUASAR-QAT/Qwen3.8-27B-QUASAR-NVFP4,24813,115,2026-08-23,17,transformers,17,1,1
72,pyannote/speaker-diarization-3.1,9142156,3453,2023-11-16,1028,pyannote-audio,24,1,0
73,inclusionAI/Ling-3.0-tiny,27485,432,2026-08-10,30,,43,1,1
74,ornith-ai/Ornith-1.5-9B-GGUF,3859341,323,2026-08-19,21,transformers,10,0,0
75,lvladikov/Krea2-Turbo-Distill-4step-LoRA,20324,105,2026-08-20,20,diffusers,2448,0,1
76,FastVideo/FastVideo-FastH3-4-step-Preview-v1-VSA-DataFree,109509,292,2026-08-27,13,diffusers,67,0,0
77,prithivMLmods/MiniMax-H3-Facial-Realism-CloseUp,3377,51,2026-08-31,9,minimax-h3,4,0,1
78,meta-llama/Llama-3.1-8B-Instruct,5644039,6841,2024-07-18,783,transformers,17,1,1
79,microsoft/VibeVoice-ASR-Streaming-1.5B,1959,45,2026-09-02,7,transformers,16,1,1
80,nex-agi/Nex-N2.5-mini,2,43,2026-09-08,1,transformers,28,1,1
81,empero-ai/Qwythos-9B-Claude-Mythos-5-1M-GGUF,550828,2703,2026-06-19,82,gguf,15,0,0
82,deepseek-ai/DeepSeek-V4-Flash-0731,4425802,3909,2026-07-31,40,transformers,74,1,1
83,facebook/sam3.1,57284,647,2026-03-26,167,checkpoint,12,1,0
84,krea/Krea-2-Raw,71268,650,2026-06-18,83,diffusers,55,0,1
85,peculiar-ragdoll/Tiel-Coder-35B-A3B-GGUF-MTP,263911,129,2026-08-24,16,gguf,17,0,0
86,huihui-ai/Huihui-Qwen3.8-Flash-Next-abliterated-GGUF,3556,44,2026-09-06,3,transformers,8,0,0
87,perplexity-ai/pplx-pii-masking,1100,56,2026-07-16,55,,10,1,1
88,Nanbeige/Nanbeige4.2-3B,33231,765,2026-07-21,50,transformers,25,1,1
89,ornith-ai/Ornith-1.5-35B-A3B,306928,564,2026-08-18,22,transformers,33,1,1
90,Jackrong/Qwopus3.8-27B-Flash,923,39,2026-09-03,6,transformers,27,1,1
91,Kijai/MiniMax-H3-experimental,0,426,2026-08-05,35,,13,0,1
92,smhfacct/Minimax-H3-fl2va-ref2va-hybrid-models,0,225,2026-08-11,29,,6,0,1
93,facebook/dinov3-vitl16-pretrain-lvd1689m,695314,663,2025-08-06,399,transformers,6,1,1
94,google/gemma-4-31B-it,8672440,3743,2026-03-11,182,transformers,12,1,1
95,alibaba-pai/MiniMax-H3-Acc-LoRAs,67839,219,2026-08-26,14,videox_fun,29,0,1
96,inclusionAI/LLaDA-Image-Turbo,794,37,2026-08-28,12,diffusers,39,0,0
97,vpakarinen/better-human-motion-h3-lora,156,39,2026-09-02,7,,6,1,1
98,MiniMaxAI/MiniMax-Music3,25699,1359,2026-08-07,33,diffusers,88,1,0
99,pyannote/segmentation-3.0,5859474,1717,2023-09-22,1083,pyannote-audio,6,1,0
100,hexgrad/Kokoro-82M,11529925,6833,2024-12-26,622,,72,1,0
