fila,columna,veces_objetivo,veces_contexto
0,0,253,4873
0,1,478,4663
0,2,727,4436
0,3,970,4231
0,4,1212,4020
0,5,1462,3817
0,6,1523,3760
0,7,1531,3750
0,8,1520,3755
0,9,1421,3829
0,10,1203,4019
0,11,946,4232
0,12,698,4453
0,13,460,4671
0,14,203,4919
0,15,0,0
1,0,478,4662
1,1,952,4245
1,2,1449,3846
1,3,1913,3490
1,4,2384,3160
1,5,2876,2847
1,6,2997,2747
1,7,2992,2719
1,8,2965,2727
1,9,2818,2822
1,10,2380,3127
1,11,1879,3488
1,12,1412,3851
1,13,952,4228
1,14,445,4689
1,15,0,0
2,0,700,4463
2,1,1427,3854
2,2,2151,3309
2,3,2837,2847
2,4,3542,2424
2,5,4267,2053
2,6,4472,1918
2,7,4484,1883
2,8,4443,1884
2,9,4237,2005
2,10,3558,2379
2,11,2822,2818
2,12,2136,3289
2,13,1416,3836
2,14,685,4467
2,15,0,0
3,0,913,4277
3,1,1874,3500
3,2,2847,2841
3,3,3780,2284
3,4,4707,1824
3,5,5672,1426
3,6,5995,1272
3,7,5993,1261
3,8,5960,1288
3,9,5678,1403
3,10,4771,1767
3,11,3819,2217
3,12,2867,2730
3,13,1882,3413
3,14,941,4177
3,15,0,0
4,0,1156,4006
4,1,2365,3069
4,2,3592,2301
4,3,4773,1671
4,4,5934,1212
4,5,7106,855
4,6,7498,724
4,7,7524,668
4,8,7474,734
4,9,7110,827
4,10,5960,1171
4,11,4789,1585
4,12,3615,2136
4,13,2376,2873
4,14,1171,3717
4,15,0,0
5,0,1401,3506
5,1,2833,2525
5,2,4297,1738
5,3,5701,1171
5,4,7077,751
5,5,8461,490
5,6,8905,367
5,7,8939,349
5,8,8907,397
5,9,8465,484
5,10,7092,737
5,11,5704,1135
5,12,4317,1635
5,13,2836,2391
5,14,1414,3256
5,15,0,0
6,0,1561,3170
6,1,3216,2133
6,2,4866,1381
6,3,6421,865
6,4,7991,498
6,5,9542,301
6,6,9972,248
6,7,9981,248
6,8,9889,295
6,9,9442,350
6,10,7874,552
6,11,6320,893
6,12,4762,1362
6,13,3136,2041
6,14,1568,2885
6,15,0,0
7,0,1649,2817
7,1,3373,1880
7,2,5103,1211
7,3,6740,784
7,4,8368,467
7,5,9994,287
7,6,10412,243
7,7,10414,271
7,8,10356,278
7,9,9922,337
7,10,8268,508
7,11,6667,795
7,12,5021,1207
7,13,3322,1808
7,14,1673,2561
7,15,0,0
8,0,1568,2601
8,1,3185,1772
8,2,4777,1195
8,3,6335,810
8,4,7916,531
8,5,9459,327
8,6,9897,316
8,7,9910,326
8,8,9910,336
8,9,9492,376
8,10,7894,542
8,11,6369,810
8,12,4788,1197
8,13,3165,1708
8,14,1602,2346
8,15,0,0
9,0,1413,2401
9,1,2876,1695
9,2,4331,1192
9,3,5751,858
9,4,7167,611
9,5,8530,419
9,6,8960,423
9,7,8982,465
9,8,8965,450
9,9,8487,488
9,10,7041,674
9,11,5704,896
9,12,4261,1195
9,13,2826,1599
9,14,1419,2091
9,15,0,0
10,0,1186,2158
10,1,2423,1597
10,2,3651,1182
10,3,4813,940
10,4,5995,733
10,5,7161,556
10,6,7508,561
10,7,7515,603
10,8,7502,578
10,9,7113,582
10,10,5915,741
10,11,4795,893
10,12,3558,1126
10,13,2370,1379
10,14,1199,1710
10,15,0,0
11,0,955,1717
11,1,1942,1341
11,2,2918,1064
11,3,3850,871
11,4,4806,721
11,5,5753,587
11,6,6005,587
11,7,6000,644
11,8,5965,614
11,9,5649,602
11,10,4676,698
11,11,3775,791
11,12,2805,898
11,13,1853,1031
11,14,935,1185
11,15,0,0
12,0,700,1200
12,1,1436,947
12,2,2156,784
12,3,2848,649
12,4,3548,543
12,5,4253,444
12,6,4486,435
12,7,4478,458
12,8,4482,432
12,9,4265,415
12,10,3542,447
12,11,2878,469
12,12,2132,523
12,13,1407,550
12,14,723,595
12,15,0,0
13,0,465,574
13,1,965,461
13,2,1441,376
13,3,1905,297
13,4,2379,238
13,5,2843,198
13,6,3002,201
13,7,2990,200
13,8,2995,177
13,9,2859,170
13,10,2370,163
13,11,1932,161
13,12,1427,168
13,13,944,167
13,14,489,178
13,15,0,0
14,0,240,170
14,1,486,139
14,2,729,124
14,3,989,97
14,4,1224,82
14,5,1466,67
14,6,1544,74
14,7,1538,67
14,8,1536,60
14,9,1430,55
14,10,1185,49
14,11,967,43
14,12,696,40
14,13,458,36
14,14,243,35
14,15,0,0
15,0,0,0
15,1,0,0
15,2,0,0
15,3,0,0
15,4,0,0
15,5,0,0
15,6,0,0
15,7,0,0
15,8,0,0
15,9,0,0
15,10,0,0
15,11,0,0
15,12,0,0
15,13,0,0
15,14,0,0
15,15,0,0
