contexto_bruto,contexto_truncado
101,93
150,93
116,93
111,93
97,93
109,93
143,93
104,93
132,93
139,93
105,93
128,93
123,93
135,93
135,93
140,93
124,93
140,93
121,93
138,93
122,93
126,93
111,93
133,93
127,93
127,93
113,93
123,93
159,93
104,93
162,93
124,93
115,93
111,93
124,93
111,93
143,93
128,93
105,93
112,93
117,93
137,93
141,93
133,93
117,93
130,93
129,93
156,93
144,93
118,93
139,93
142,93
145,93
114,93
105,93
111,93
140,93
124,93
129,93
125,93
121,93
105,93
115,93
120,93
122,93
114,93
123,93
134,93
166,93
114,93
135,93
131,93
115,93
120,93
125,93
129,93
150,93
135,93
115,93
129,93
93,93
118,93
132,93
110,93
135,93
121,93
111,93
144,93
131,93
131,93
123,93
157,93
96,93
113,93
126,93
127,93
133,93
124,93
135,93
146,93
128,93
119,93
113,93
123,93
131,93
143,93
109,93
113,93
120,93
128,93
121,93
140,93
118,93
152,93
131,93
122,93
122,93
143,93
98,93
121,93
127,93
151,93
153,93
125,93
138,93
148,93
127,93
132,93
116,71
104,71
129,71
118,71
125,71
107,71
104,71
127,71
130,71
110,71
109,71
106,71
123,71
111,71
128,71
89,71
117,71
123,71
97,71
119,71
117,71
101,71
119,71
131,71
121,71
75,71
91,71
94,71
106,71
114,71
97,71
123,71
128,71
127,71
107,71
105,71
123,71
106,71
102,71
123,71
102,71
128,71
118,71
101,71
106,71
128,71
78,71
126,71
99,71
112,71
137,71
164,71
110,71
112,71
123,71
116,71
114,71
125,71
91,71
82,71
110,71
94,71
129,71
110,71
111,71
126,71
105,71
99,71
105,71
88,71
111,71
106,71
123,71
110,71
97,71
129,71
130,71
123,71
125,71
98,71
115,71
100,71
151,71
83,71
123,71
107,71
110,71
103,71
87,71
123,71
78,71
91,71
99,71
131,71
123,71
117,71
124,71
109,71
88,71
116,71
102,71
103,71
119,71
127,71
115,71
71,71
113,71
86,71
114,71
109,71
102,71
117,71
118,71
97,71
114,71
96,71
132,71
134,71
114,71
114,71
130,71
108,71
112,71
115,71
115,71
91,71
98,71
97,71
111,64
109,64
113,64
91,64
96,64
101,64
82,64
97,64
87,64
121,64
123,64
79,64
85,64
105,64
116,64
135,64
72,64
121,64
88,64
111,64
98,64
110,64
100,64
115,64
103,64
108,64
89,64
103,64
80,64
90,64
93,64
119,64
92,64
123,64
64,64
101,64
115,64
106,64
117,64
116,64
124,64
93,64
110,64
97,64
102,64
99,64
100,64
70,64
112,64
107,64
113,64
112,64
149,64
115,64
99,64
103,64
101,64
96,64
94,64
121,64
140,64
127,64
81,64
119,64
119,64
111,64
96,64
70,64
89,64
93,64
114,64
117,64
71,64
99,64
105,64
105,64
119,64
77,64
105,64
123,64
97,64
116,64
113,64
104,64
133,64
108,64
88,64
100,64
89,64
117,64
85,64
133,64
97,64
96,64
103,64
100,64
101,64
117,64
100,64
75,64
118,64
93,64
76,64
97,64
99,64
113,64
107,64
111,64
83,64
104,64
115,64
131,64
117,64
92,64
74,64
121,64
104,64
89,64
107,64
82,64
106,64
111,64
98,64
80,64
125,64
129,64
88,64
79,64
103,62
117,62
116,62
110,62
118,62
130,62
90,62
92,62
128,62
112,62
109,62
106,62
107,62
120,62
111,62
117,62
133,62
147,62
138,62
118,62
92,62
111,62
114,62
105,62
115,62
123,62
84,62
99,62
99,62
130,62
119,62
135,62
89,62
120,62
126,62
113,62
84,62
128,62
128,62
95,62
85,62
106,62
120,62
102,62
79,62
86,62
105,62
111,62
138,62
123,62
124,62
113,62
124,62
117,62
92,62
110,62
109,62
110,62
131,62
129,62
136,62
134,62
140,62
104,62
131,62
136,62
137,62
97,62
93,62
149,62
81,62
93,62
136,62
113,62
90,62
124,62
131,62
124,62
137,62
96,62
114,62
111,62
102,62
122,62
138,62
106,62
117,62
111,62
127,62
89,62
77,62
91,62
136,62
109,62
110,62
86,62
124,62
120,62
117,62
129,62
117,62
152,62
143,62
100,62
112,62
141,62
124,62
109,62
123,62
123,62
135,62
122,62
107,62
128,62
112,62
63,62
100,62
94,62
127,62
62,62
120,62
129,62
87,62
98,62
129,62
128,62
132,62
103,62
79,75
115,75
107,75
134,75
125,75
100,75
116,75
133,75
118,75
109,75
132,75
139,75
128,75
115,75
106,75
113,75
96,75
126,75
137,75
104,75
99,75
95,75
88,75
135,75
104,75
131,75
99,75
90,75
116,75
144,75
93,75
108,75
112,75
129,75
86,75
84,75
105,75
121,75
89,75
110,75
90,75
110,75
96,75
136,75
119,75
121,75
120,75
139,75
121,75
109,75
106,75
98,75
104,75
102,75
135,75
132,75
97,75
128,75
93,75
97,75
124,75
101,75
127,75
111,75
103,75
143,75
131,75
97,75
116,75
99,75
113,75
95,75
86,75
106,75
75,75
99,75
112,75
116,75
128,75
123,75
99,75
95,75
96,75
85,75
111,75
103,75
133,75
143,75
112,75
94,75
130,75
135,75
115,75
127,75
127,75
101,75
121,75
116,75
135,75
85,75
107,75
125,75
103,75
110,75
103,75
136,75
85,75
100,75
131,75
112,75
111,75
123,75
140,75
145,75
106,75
126,75
103,75
104,75
109,75
133,75
123,75
117,75
113,75
101,75
95,75
104,75
129,75
116,75
129,77
120,77
112,77
113,77
77,77
122,77
91,77
110,77
123,77
83,77
118,77
97,77
89,77
112,77
126,77
118,77
92,77
117,77
131,77
126,77
119,77
144,77
104,77
110,77
117,77
128,77
117,77
132,77
113,77
108,77
105,77
113,77
108,77
118,77
112,77
123,77
158,77
118,77
134,77
125,77
118,77
116,77
104,77
119,77
125,77
97,77
100,77
125,77
112,77
98,77
101,77
87,77
128,77
120,77
102,77
131,77
110,77
111,77
133,77
107,77
79,77
88,77
127,77
134,77
132,77
130,77
128,77
131,77
102,77
107,77
96,77
104,77
90,77
112,77
106,77
95,77
124,77
120,77
135,77
100,77
117,77
135,77
123,77
120,77
114,77
88,77
131,77
123,77
96,77
97,77
88,77
126,77
96,77
121,77
107,77
102,77
103,77
130,77
114,77
94,77
131,77
116,77
128,77
136,77
117,77
144,77
138,77
105,77
94,77
105,77
112,77
94,77
117,77
118,77
123,77
101,77
103,77
114,77
92,77
92,77
117,77
113,77
138,77
110,77
110,77
114,77
85,77
133,77
104,75
117,75
100,75
108,75
110,75
118,75
126,75
108,75
132,75
124,75
121,75
97,75
152,75
142,75
144,75
151,75
145,75
105,75
108,75
112,75
115,75
120,75
124,75
140,75
126,75
98,75
146,75
84,75
91,75
126,75
113,75
89,75
104,75
87,75
98,75
100,75
93,75
115,75
109,75
106,75
112,75
93,75
124,75
116,75
90,75
120,75
129,75
127,75
115,75
115,75
99,75
92,75
130,75
134,75
104,75
111,75
93,75
90,75
117,75
103,75
94,75
122,75
113,75
147,75
138,75
131,75
87,75
93,75
121,75
89,75
116,75
119,75
121,75
107,75
137,75
114,75
154,75
116,75
131,75
118,75
128,75
102,75
113,75
120,75
141,75
133,75
145,75
108,75
118,75
103,75
131,75
129,75
123,75
117,75
110,75
108,75
113,75
91,75
141,75
118,75
