fecha,dia_semana,altas
2021-11-03,miércoles,287
2021-11-17,miércoles,4
2021-12-01,miércoles,5
2021-12-10,viernes,13
2021-12-15,miércoles,2
2022-01-10,lunes,15
2022-01-18,martes,13
2022-01-21,viernes,4
2022-01-28,viernes,8
2022-02-04,viernes,1
2022-02-10,jueves,15
2022-02-11,viernes,1
2022-02-15,martes,9
2022-02-22,martes,2
2022-02-25,viernes,4
2022-03-03,jueves,95
2022-03-07,lunes,11
2022-03-15,martes,15
2022-03-25,viernes,66
2022-03-28,lunes,32
2022-03-31,jueves,7
2022-04-04,lunes,4
2022-04-06,miércoles,3
2022-04-11,lunes,8
2022-04-13,miércoles,10
2022-04-14,jueves,1
2022-04-15,viernes,9
2022-04-19,martes,3
2022-04-25,lunes,7
2022-05-04,miércoles,5
2022-05-10,martes,1
2022-05-16,lunes,2
2022-05-23,lunes,21
2022-05-24,martes,20
2022-05-25,miércoles,34
2022-06-02,jueves,1
2022-06-08,miércoles,35
2022-06-09,jueves,3
2022-06-14,martes,1
2022-06-27,lunes,8
2022-07-01,viernes,1
2022-07-12,martes,1
2022-07-29,viernes,1
2022-08-04,jueves,1
2022-08-09,martes,2
2022-08-11,jueves,2
2022-08-18,jueves,7
2022-08-22,lunes,1
2022-08-25,jueves,10
2022-09-08,jueves,11
2022-09-14,miércoles,2
2022-09-15,jueves,6
2022-09-22,jueves,1
2022-09-23,viernes,1
2022-09-30,viernes,3
2022-10-11,martes,2
2022-10-20,jueves,2
2022-10-24,lunes,6
2022-10-25,martes,1
2022-10-28,viernes,1
2022-11-08,martes,7
2022-11-14,lunes,1
2022-11-28,lunes,2
2022-12-05,lunes,1
2022-12-13,martes,5
2022-12-14,miércoles,1
2022-12-29,jueves,2
2023-01-10,martes,2
2023-01-17,martes,1
2023-01-23,lunes,1
2023-01-26,jueves,1
2023-02-02,jueves,2
2023-02-10,viernes,3
2023-02-14,martes,4
2023-02-16,jueves,1
2023-02-21,martes,3
2023-02-27,lunes,1
2023-03-07,martes,3
2023-03-10,viernes,2
2023-03-14,martes,3
2023-03-15,miércoles,1
2023-03-30,jueves,9
2023-04-03,lunes,1
2023-04-07,viernes,5
2023-04-10,lunes,2
2023-04-11,martes,1
2023-04-13,jueves,2
2023-04-17,lunes,2
2023-04-19,miércoles,1
2023-04-21,viernes,3
2023-05-01,lunes,3
2023-05-09,martes,1
2023-05-12,viernes,7
2023-05-19,viernes,3
2023-05-22,lunes,3
2023-05-26,viernes,1
2023-05-31,miércoles,1
2023-06-02,viernes,1
2023-06-05,lunes,2
2023-06-07,miércoles,1
2023-06-13,martes,1
2023-06-22,jueves,6
2023-06-23,viernes,5
2023-06-29,jueves,8
2023-07-07,viernes,1
2023-07-11,martes,5
2023-07-13,jueves,2
2023-07-17,lunes,1
2023-07-19,miércoles,1
2023-07-20,jueves,2
2023-07-25,martes,1
2023-07-26,miércoles,1
2023-07-27,jueves,1
2023-07-31,lunes,1
2023-08-07,lunes,1
2023-08-09,miércoles,1
2023-08-16,miércoles,1
2023-08-21,lunes,1
2023-08-22,martes,2
2023-08-24,jueves,2
2023-09-06,miércoles,1
2023-09-11,lunes,2
2023-09-12,martes,2
2023-09-13,miércoles,3
2023-09-14,jueves,1
2023-09-18,lunes,4
2023-09-19,martes,1
2023-09-21,jueves,1
2023-09-25,lunes,3
2023-09-28,jueves,1
2023-10-02,lunes,1
2023-10-03,martes,1
2023-10-04,miércoles,2
2023-10-05,jueves,3
2023-10-10,martes,5
2023-10-16,lunes,1
2023-10-18,miércoles,1
2023-10-23,lunes,1
2023-10-26,jueves,1
2023-10-31,martes,2
2023-11-02,jueves,1
2023-11-07,martes,1
2023-11-08,miércoles,1
2023-11-13,lunes,6
2023-11-14,martes,3
2023-11-16,jueves,3
2023-11-21,martes,1
2023-11-30,jueves,2
2023-12-04,lunes,2
2023-12-05,martes,4
2023-12-07,jueves,2
2023-12-11,lunes,1
2023-12-21,jueves,2
2024-01-02,martes,2
2024-01-08,lunes,6
2024-01-10,miércoles,3
2024-01-16,martes,1
2024-01-17,miércoles,3
2024-01-18,jueves,1
2024-01-22,lunes,1
2024-01-23,martes,1
2024-01-24,miércoles,1
2024-01-31,miércoles,2
2024-02-06,martes,1
2024-02-09,viernes,1
2024-02-12,lunes,1
2024-02-13,martes,2
2024-02-15,jueves,2
2024-02-22,jueves,1
2024-02-29,jueves,1
2024-03-04,lunes,1
2024-03-05,martes,2
2024-03-06,miércoles,2
2024-03-07,jueves,1
2024-03-25,lunes,3
2024-03-26,martes,1
2024-04-04,jueves,2
2024-04-11,jueves,2
2024-04-12,viernes,1
2024-04-23,martes,1
2024-04-24,miércoles,3
2024-04-30,martes,1
2024-05-01,miércoles,1
2024-05-13,lunes,1
2024-05-14,martes,2
2024-05-16,jueves,3
2024-05-20,lunes,2
2024-05-23,jueves,1
2024-05-28,martes,1
2024-05-29,miércoles,1
2024-05-30,jueves,2
2024-06-03,lunes,1
2024-06-12,miércoles,2
2024-06-13,jueves,3
2024-06-26,miércoles,3
2024-07-02,martes,1
2024-07-09,martes,3
2024-07-15,lunes,1
2024-07-17,miércoles,3
2024-07-23,martes,2
2024-07-29,lunes,3
2024-07-30,martes,1
2024-08-05,lunes,1
2024-08-07,miércoles,2
2024-08-13,martes,6
2024-08-15,jueves,1
2024-08-19,lunes,1
2024-08-21,miércoles,4
2024-08-23,viernes,1
2024-08-26,lunes,1
2024-08-27,martes,1
2024-08-28,miércoles,1
2024-09-03,martes,3
2024-09-09,lunes,3
2024-09-10,martes,3
2024-09-13,viernes,1
2024-09-16,lunes,2
2024-09-17,martes,4
2024-09-18,miércoles,4
2024-09-19,jueves,1
2024-09-24,martes,1
2024-09-30,lunes,3
2024-10-02,miércoles,1
2024-10-03,jueves,1
2024-10-08,martes,3
2024-10-09,miércoles,3
2024-10-15,martes,3
2024-10-17,jueves,1
2024-10-21,lunes,1
2024-10-22,martes,1
2024-10-23,miércoles,1
2024-10-24,jueves,2
2024-11-04,lunes,2
2024-11-07,jueves,4
2024-11-12,martes,5
2024-11-14,jueves,2
2024-11-18,lunes,3
2024-11-20,miércoles,2
2024-11-21,jueves,3
2024-11-25,lunes,1
2024-12-03,martes,3
2024-12-04,miércoles,1
2024-12-10,martes,1
2024-12-13,viernes,1
2024-12-16,lunes,2
2024-12-17,martes,1
2024-12-18,miércoles,4
2024-12-19,jueves,1
2024-12-23,lunes,1
2024-12-30,lunes,1
2025-01-07,martes,3
2025-01-08,miércoles,1
2025-01-13,lunes,2
2025-01-14,martes,4
2025-01-16,jueves,1
2025-01-23,jueves,1
2025-01-24,viernes,1
2025-01-29,miércoles,1
2025-02-04,martes,4
2025-02-05,miércoles,1
2025-02-06,jueves,5
2025-02-07,viernes,1
2025-02-11,martes,4
2025-02-12,miércoles,2
2025-02-13,jueves,1
2025-02-18,martes,2
2025-02-20,jueves,2
2025-02-21,viernes,1
2025-02-24,lunes,2
2025-02-25,martes,2
2025-03-03,lunes,5
2025-03-04,martes,4
2025-03-10,lunes,5
2025-03-11,martes,6
2025-03-13,jueves,2
2025-03-18,martes,2
2025-03-19,miércoles,3
2025-03-24,lunes,1
2025-03-26,miércoles,2
2025-03-27,jueves,1
2025-03-31,lunes,1
2025-04-01,martes,1
2025-04-04,viernes,1
2025-04-07,lunes,1
2025-04-08,martes,2
2025-04-09,miércoles,2
2025-04-16,miércoles,1
2025-04-17,jueves,3
2025-04-28,lunes,3
2025-04-29,martes,1
2025-05-01,jueves,2
2025-05-02,viernes,2
2025-05-05,lunes,1
2025-05-06,martes,1
2025-05-07,miércoles,2
2025-05-12,lunes,1
2025-05-13,martes,5
2025-05-14,miércoles,1
2025-05-15,jueves,2
2025-05-19,lunes,6
2025-05-22,jueves,1
2025-06-02,lunes,5
2025-06-03,martes,3
2025-06-05,jueves,1
2025-06-09,lunes,2
2025-06-10,martes,2
2025-06-16,lunes,2
2025-06-17,martes,1
2025-06-25,miércoles,3
2025-06-30,lunes,1
2025-07-01,martes,2
2025-07-02,miércoles,1
2025-07-07,lunes,4
2025-07-10,jueves,1
2025-07-14,lunes,1
2025-07-18,viernes,1
2025-07-20,domingo,1
2025-07-22,martes,6
2025-07-28,lunes,3
2025-08-05,martes,3
2025-08-12,martes,3
2025-08-13,miércoles,2
2025-08-18,lunes,1
2025-08-21,jueves,1
2025-08-25,lunes,3
2025-08-26,martes,1
2025-08-29,viernes,1
2025-09-02,martes,2
2025-09-03,miércoles,2
2025-09-04,jueves,3
2025-09-11,jueves,1
2025-09-23,martes,1
2025-09-25,jueves,2
2025-09-29,lunes,5
2025-10-02,jueves,5
2025-10-06,lunes,7
2025-10-07,martes,1
2025-10-09,jueves,1
2025-10-14,martes,4
2025-10-15,miércoles,1
2025-10-20,lunes,5
2025-10-22,miércoles,1
2025-10-24,viernes,2
2025-10-28,martes,2
2025-10-30,jueves,2
2025-11-04,martes,2
2025-11-10,lunes,1
2025-11-12,miércoles,3
2025-11-14,viernes,1
2025-11-18,martes,1
2025-11-19,miércoles,1
2025-11-21,viernes,1
2025-11-28,viernes,1
2025-12-02,martes,2
2025-12-03,miércoles,1
2025-12-05,viernes,1
2025-12-08,lunes,2
2025-12-09,martes,2
2025-12-11,jueves,1
2025-12-12,viernes,2
2025-12-15,lunes,2
2025-12-16,martes,1
2025-12-17,miércoles,3
2025-12-19,viernes,1
2025-12-22,lunes,1
2025-12-29,lunes,1
2026-01-07,miércoles,2
2026-01-12,lunes,1
2026-01-13,martes,1
2026-01-21,miércoles,1
2026-01-22,jueves,4
2026-01-23,viernes,1
2026-01-26,lunes,5
2026-01-27,martes,1
2026-01-29,jueves,1
2026-02-03,martes,4
2026-02-05,jueves,2
2026-02-10,martes,6
2026-02-12,jueves,4
2026-02-13,viernes,1
2026-02-17,martes,4
2026-02-18,miércoles,2
2026-02-20,viernes,2
2026-02-24,martes,1
2026-02-25,miércoles,2
2026-03-03,martes,2
2026-03-05,jueves,5
2026-03-09,lunes,3
2026-03-11,miércoles,1
2026-03-13,viernes,2
2026-03-16,lunes,1
2026-03-18,miércoles,2
2026-03-19,jueves,1
2026-03-20,viernes,5
2026-03-25,miércoles,1
2026-03-26,jueves,1
2026-03-27,viernes,1
2026-03-30,lunes,1
2026-04-01,miércoles,1
2026-04-02,jueves,1
2026-04-06,lunes,1
2026-04-08,miércoles,1
2026-04-13,lunes,7
2026-04-14,martes,2
2026-04-16,jueves,1
2026-04-20,lunes,8
2026-04-22,miércoles,1
2026-04-23,jueves,1
2026-04-24,viernes,4
2026-04-28,martes,2
2026-04-30,jueves,1
2026-05-01,viernes,1
2026-05-06,miércoles,1
2026-05-07,jueves,1
2026-05-08,viernes,1
2026-05-14,jueves,1
2026-05-15,viernes,1
2026-05-20,miércoles,7
2026-05-21,jueves,2
2026-05-22,viernes,1
2026-05-26,martes,1
2026-05-27,miércoles,3
2026-05-29,viernes,1
2026-06-01,lunes,1
2026-06-02,martes,2
2026-06-03,miércoles,1
2026-06-05,viernes,1
2026-06-08,lunes,2
2026-06-09,martes,3
2026-06-11,jueves,1
2026-06-12,viernes,1
2026-06-15,lunes,2
2026-06-16,martes,1
2026-06-18,jueves,1
2026-06-23,martes,4
2026-06-25,jueves,2
2026-06-29,lunes,1
2026-07-01,miércoles,1
2026-07-07,martes,4
2026-07-10,viernes,2
2026-07-13,lunes,1
2026-07-14,martes,4
2026-07-15,miércoles,2
2026-07-16,jueves,3
2026-07-21,martes,4
2026-07-22,miércoles,2
2026-07-27,lunes,2
2026-07-29,miércoles,1
2026-08-03,lunes,1
2026-08-04,martes,3
2026-08-05,miércoles,1
2026-08-07,viernes,1
2026-08-11,martes,3
2026-08-17,lunes,1
2026-08-18,martes,4
2026-08-19,miércoles,1
2026-08-20,jueves,2
2026-08-21,viernes,1
2026-08-24,lunes,1
2026-08-25,martes,1
2026-08-26,miércoles,6
2026-08-27,jueves,3
2026-08-31,lunes,2
2026-09-02,miércoles,7
2026-09-04,viernes,1
