mes,altas,ventana_3,ventana_14,ventana_21,ventana_otra,triaje_forense
2021-11,291,0,102,0,189,0
2021-12,20,0,9,0,11,0
2022-01,40,0,15,0,25,0
2022-02,32,0,8,0,24,0
2022-03,226,0,30,187,9,0
2022-04,45,0,0,45,0,0
2022-05,83,0,0,83,0,0
2022-06,48,0,35,12,1,0
2022-07,3,0,0,3,0,0
2022-08,23,0,0,23,0,0
2022-09,24,0,0,24,0,0
2022-10,12,0,0,12,0,0
2022-11,10,0,0,5,5,0
2022-12,9,0,0,9,0,0
2023-01,5,0,0,5,0,0
2023-02,14,0,0,14,0,0
2023-03,18,0,0,18,0,0
2023-04,17,0,0,17,0,0
2023-05,19,0,0,19,0,0
2023-06,24,0,0,24,0,0
2023-07,16,0,0,15,1,0
2023-08,8,0,0,8,0,0
2023-09,19,0,0,19,0,0
2023-10,18,0,0,15,3,0
2023-11,18,0,0,13,5,0
2023-12,11,0,0,10,1,0
2024-01,21,0,0,17,4,0
2024-02,9,0,0,7,2,0
2024-03,10,0,0,10,0,0
2024-04,10,0,0,6,4,0
2024-05,14,0,0,14,0,0
2024-06,9,0,0,9,0,0
2024-07,14,0,0,14,0,0
2024-08,19,0,0,19,0,0
2024-09,25,0,0,25,0,0
2024-10,17,0,0,17,0,0
2024-11,22,0,0,22,0,0
2024-12,16,0,0,15,1,0
2025-01,14,0,0,12,2,0
2025-02,27,0,0,27,0,0
2025-03,32,0,0,32,0,0
2025-04,15,0,0,14,1,0
2025-05,24,0,0,24,0,0
2025-06,20,0,0,20,0,0
2025-07,20,0,0,16,4,0
2025-08,15,0,0,12,3,0
2025-09,16,0,0,14,2,0
2025-10,31,0,0,31,0,0
2025-11,11,0,0,9,2,0
2025-12,20,0,0,15,5,0
2026-01,17,2,0,15,0,0
2026-02,28,4,0,22,2,0
2026-03,26,5,14,7,0,0
2026-04,31,8,23,0,0,0
2026-05,21,7,13,0,1,0
2026-06,23,17,6,0,0,0
2026-07,26,22,4,0,0,21
2026-08,31,21,10,0,0,17
2026-09,29,21,8,0,0,20
