cve,anio_cve,anio_alta,fecha_alta,edad,proveedor,producto,borde_red
CVE-2026-76461,2026,2026,2026-09-14,0,Cisco,Secure Email Gateway,1
CVE-2026-84869,2026,2026,2026-09-11,0,ConnectWise,ScreenConnect,0
CVE-2026-42016,2026,2026,2026-09-11,0,JFrog,Artifactory,0
CVE-2026-42018,2026,2026,2026-09-11,0,JFrog,Artifactory,0
CVE-2026-85706,2026,2026,2026-09-11,0,GitLab,Community Edition and Enterprise Edition,0
CVE-2026-86060,2026,2026,2026-09-10,0,MikroTik,RouterOS,1
CVE-2026-67277,2026,2026,2026-09-10,0,MikroTik,RouterOS,1
CVE-2026-19490,2026,2026,2026-09-09,0,Citrix,NetScaler,1
CVE-2025-25249,2025,2026,2026-09-09,1,Fortinet,Multiple Products,1
CVE-2026-87491,2026,2026,2026-09-09,0,Google,Chromium V8,0
CVE-2026-20079,2026,2026,2026-09-09,0,Cisco,Secure Firewall Management Center (FMC) and Security Cloud Control (SCC) Firewall Management,1
CVE-2026-75650,2026,2026,2026-09-08,0,Adobe,Commerce and Magento,0
CVE-2026-81963,2026,2026,2026-09-08,0,Microsoft,Windows,0
CVE-2026-86218,2026,2026,2026-09-08,0,N-able,N-central,0
CVE-2026-85880,2026,2026,2026-09-08,0,Microsoft,Windows,0
CVE-2026-85046,2026,2026,2026-09-04,0,Google,Chromium V8,0
CVE-2026-59822,2026,2026,2026-09-02,0,BerriAI,LiteLLM,0
CVE-2026-48710,2026,2026,2026-09-02,0,Kludex,Starlette,0
CVE-2026-49869,2026,2026,2026-09-02,0,Kestra,Kestra OSS,0
CVE-2026-82329,2026,2026,2026-09-02,0,JFrog,Artifactory,0
CVE-2026-9586,2026,2026,2026-09-02,0,Sangoma,Switchvox,0
CVE-2026-83548,2026,2026,2026-09-02,0,SonicWall,SMA1000 Appliances,1
CVE-2026-83549,2026,2026,2026-09-02,0,SonicWall,SMA1000 Appliances,1
CVE-2026-82078,2026,2026,2026-08-31,0,PaperCut,NG/MF,0
