region,mes,win11,win10,win7,winxp,win8,win81,otros
mundo,2025-09,52.9,43.78,2.29,0.33,0.48,0.2,0.01
mundo,2025-10,55.18,41.71,2.52,0.22,0.17,0.16,0
mundo,2025-11,53.7,42.7,2.93,0.3,0.2,0.15,0
mundo,2025-12,50.73,44.68,3.83,0.43,0.16,0.15,0.01
mundo,2026-01,62.41,35.77,1.05,0.43,0.16,0.14,0
mundo,2026-02,72.57,26.45,0.62,0.2,0.04,0.1,0
mundo,2026-03,67.14,31.27,1.18,0.11,0.15,0.12,0
mundo,2026-04,70.35,28.47,0.84,0.2,0.03,0.09,0.01
mundo,2026-05,71.84,26.21,1.62,0.2,0.03,0.08,0.01
mundo,2026-06,69.89,28.16,1.64,0.17,0.03,0.09,0.01
mundo,2026-07,68.88,29.88,1.01,0.09,0.02,0.1,0.01
mundo,2026-08,68.6,30.15,0.95,0.14,0.03,0.11,0.01
espana,2025-09,48.45,48.71,1.9,0.4,0.3,0.19,0
espana,2025-10,52.67,45.27,1.62,0.1,0.18,0.12,0
espana,2025-11,53.05,44.5,1.81,0.14,0.32,0.15,0
espana,2025-12,53.35,43.67,2.4,0.15,0.26,0.14,0
espana,2026-01,58.95,38.68,1.8,0.12,0.3,0.1,0
espana,2026-02,62.32,35.89,1.4,0.07,0.19,0.08,0
espana,2026-03,61.85,36.12,1.6,0.05,0.18,0.09,0
espana,2026-04,63.93,34.18,1.5,0.05,0.17,0.07,0
espana,2026-05,66.69,31.21,1.75,0.03,0.15,0.07,0
espana,2026-06,66.3,31.31,2.03,0.02,0.16,0.06,0
espana,2026-07,70.57,26.73,2.4,0.02,0.14,0.06,0
espana,2026-08,65.85,30.54,3.22,0.03,0.19,0.07,0
