dominio,hci_2026,margen_restante,proyeccion_eq4,ganancia_ilustrativa,fraccion_del_margen_cerrada
matemáticas avanzadas,86.4,13.6,97.0,10.6,0.78
ciencia de posgrado,85.8,14.2,96.9,11.1,0.78
conocimiento general,77.2,22.8,95.0,17.8,0.78
razonamiento jurídico,64.5,35.5,92.2,27.7,0.78
razonamiento multimodal,62.2,37.8,91.7,29.5,0.78
amplitud académica de frontera,60.4,39.6,91.3,30.9,0.78
ingeniería de software,52.6,47.4,89.6,37.0,0.78
agentes de búsqueda y terminal,56.8,43.2,90.5,33.7,0.78
agentes con herramientas,39.9,60.1,86.8,46.9,0.78
agente de ciberseguridad,91.9,8.1,98.2,6.3,0.78
