codigo,categoria,bloque,materia,codigo_id,fecha_actualizacion,url_codigo,pdf_url,epub_url,marca_tiempo
Constitución Española,Constitución Española,constitucional,constitucional,151_Constitucion_Espanola,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=151_Constitucion_Espanola&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=151_Constitucion_Espanola.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=151_Constitucion_Espanola.epub,2026-09-11T05:30:01Z
Constitución Española _ La Constitution Espagnole,Constitución Española,constitucional,constitucional,160_Constitucion_Espanola_________________La_Constitution_Espagnole,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=160_Constitucion_Espanola_________________La_Constitution_Espagnole&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=160_Constitucion_Espanola_________________La_Constitution_Espagnole.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=160_Constitucion_Espanola_________________La_Constitution_Espagnole.epub,2026-09-11T05:30:01Z
Constitución Española _ Die Spanische Verfassung,Constitución Española,constitucional,constitucional,157_Constitucion_Espanola_________________Die_Spanische_Verfassung_,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=157_Constitucion_Espanola_________________Die_Spanische_Verfassung_&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=157_Constitucion_Espanola_________________Die_Spanische_Verfassung_.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=157_Constitucion_Espanola_________________Die_Spanische_Verfassung_.epub,2026-09-11T05:30:01Z
Constitución Española _ The Spanish Constitution,Constitución Española,constitucional,constitucional,158_Constitucion_Espanola_________________The_Spanish_Constitution_,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=158_Constitucion_Espanola_________________The_Spanish_Constitution_&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=158_Constitucion_Espanola_________________The_Spanish_Constitution_.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=158_Constitucion_Espanola_________________The_Spanish_Constitution_.epub,2026-09-11T05:30:01Z
Constitución Española _ La Costituzione Spagnola,Constitución Española,constitucional,constitucional,159_Constitucion_Espanola__________________La_Costituzione_Spagnola,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=159_Constitucion_Espanola__________________La_Costituzione_Spagnola&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=159_Constitucion_Espanola__________________La_Costituzione_Spagnola.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=159_Constitucion_Espanola__________________La_Costituzione_Spagnola.epub,2026-09-11T05:30:01Z
Constitución Española _ Constituição Espanhola,Constitución Española,constitucional,constitucional,387_Constitucion_Espanola_________________Constituicao_Espanhola,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=387_Constitucion_Espanola_________________Constituicao_Espanhola&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=387_Constitucion_Espanola_________________Constituicao_Espanhola.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=387_Constitucion_Espanola_________________Constituicao_Espanhola.epub,2026-09-11T05:30:01Z
Constitución Española _ الدستور الإسباني,Constitución Española,constitucional,constitucional,614_Constitucion_Espanola_arabe,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=614_Constitucion_Espanola_arabe&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=614_Constitucion_Espanola_arabe.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=614_Constitucion_Espanola_arabe.epub,2026-09-11T05:30:01Z
Código de Derecho Constitucional,Derecho Constitucional,constitucional,constitucional,042_Codigo_de_Derecho_Constitucional,28/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=042_Codigo_de_Derecho_Constitucional&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=042_Codigo_de_Derecho_Constitucional.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=042_Codigo_de_Derecho_Constitucional.epub,2026-09-11T05:30:01Z
Tribunal Constitucional,Derecho Constitucional,constitucional,constitucional,012_Tribunal_Constitucional,27/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=012_Tribunal_Constitucional&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=012_Tribunal_Constitucional.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=012_Tribunal_Constitucional.epub,2026-09-11T05:30:01Z
Consejo de Estado,Derecho Constitucional,constitucional,constitucional,025_Consejo_de_Estado,05/08/2024,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=025_Consejo_de_Estado&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=025_Consejo_de_Estado.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=025_Consejo_de_Estado.epub,2026-09-11T05:30:01Z
